Headers,Group 1,Group 2,Group 3,Group 4,Group 5,Group 6,Group 7,Group 8,Group 9,Group 10,Group 11,Group 12,Group 13,Group 14,Group 15,Group 16,Group 17,Group 18,Group 19,Group 20,Group 21,Group 22,Group 23,Group24,Group 25,Group 26,Group 27,Group 28,Group 29,Group 30,Group 31,Group 32,Group 33,Group 34,Group 35,Group 36,Group 37,Group 38,Group 39,Group 40,Group 41,Group 42,Group 43,Group 44,Group 45,Group 46,Group 47
People Count In Group,13,170,41,10,14,66,12,35,33,10,63,30,28,47,14,37,26,18,27,95,34,15,321,13,56,22,88,79,46,40,123,57,88,49,45,57,77,19,34,39,67,235,143,179,21,14,25
% of all traffic within group,11,33,35,31,15,21,13,38,38,22,31,28,37,43,28,19,8,20,29,36,15,16,41,10,40,29,32,37,33,33,46,41,41,36,30,40,23,16,30,34,17,51,31,50,29,34,43
% of all traffic with others in org,56,20,26,49,44,33,64,17,19,34,26,48,40,31,32,50,54,40,28,25,46,45,16,38,28,48,26,34,31,35,34,33,31,27,26,26,30,50,23,20,49,16,20,14,54,50,40
% of all traffic with people outside org,33,47,39,20,41,46,23,45,43,44,43,24,23,26,40,31,38,39,43,38,38,39,43,52,33,23,42,29,35,32,19,27,28,37,44,34,46,33,48,46,34,34,49,36,17,16,17
Average CG score.   (35 groups with average scores above 60 in 2019),15,19,19,69,25,19,13,22,22,56,22,48,43,45,55,36,25,19,20,21,21,62,20,19,62,40,45,52,50,46,52,53,58,46,64,57,54,41,58,63,8,66,42,65,66,60,56
Number of scores above 10,1,11,6,3,6,13,,1,3,7,5,8,7,5,3,7,3,2,3,8,10,8,2,4,4,9,7,7,8,6,6,6,9,5,8,5,13,7,3,3,2,6,4,1,11,6,10
